word,frequency,has_special_chars,has_nums,has_contraction
the,7088,False,False,False
of,5274,False,False,False
and,3695,False,False,False
to,3231,False,False,False
in,1902,False,False,False
a,1626,False,False,False
our,1515,False,False,False
that,1243,False,False,False
is,1090,False,False,False
be,1070,False,False,False
we,905,False,False,False
for,856,False,False,False
by,795,False,False,False
which,744,False,False,False
have,725,False,False,False
not,676,False,False,False
will,673,False,False,False
as,660,False,False,False
with,649,False,False,False
it,617,False,False,False
I,606,False,False,False
are,589,False,False,False
their,549,False,False,False
all,541,False,False,False
this,492,False,False,False
The,486,False,False,False
has,454,False,False,False
We,427,False,False,False
its,424,False,False,False
from,403,False,False,False
on,387,False,False,False
or,383,False,False,False
been,365,False,False,False
can,347,False,False,False
but,341,False,False,False
my,329,False,False,False
us,287,False,False,False
no,283,False,False,False
an,279,False,False,False
must,267,False,False,False
It,258,False,False,False
who,251,False,False,False
people,250,False,False,False
great,248,False,False,False
they,248,False,False,False
at,246,False,False,False
should,244,False,False,False
may,241,False,False,False
upon,241,False,False,False
so,240,False,False,False
more,238,False,False,False
those,230,False,False,False
shall,222,False,False,False
was,202,False,False,False
any,202,False,False,False
Government,190,False,False,False
new,185,False,False,False
every,184,False,False,False
one,183,False,False,False
other,180,False,False,False
States,180,False,False,False
than,175,False,False,False
these,171,False,False,False
own,169,False,False,False
them,169,False,False,False
would,168,False,False,False
only,168,False,False,False
In,165,False,False,False
do,162,False,False,False
public,159,False,False,False
And,148,False,False,False
United,147,False,False,False
such,144,False,False,False
country,140,False,False,False
power,133,False,False,False
under,132,False,False,False
But,128,False,False,False
American,125,False,False,False
free,124,False,False,False
there,124,False,False,False
when,123,False,False,False
most,121,False,False,False
world,121,False,False,False
his,120,False,False,False
Our,120,False,False,False
time,117,False,False,False
government,117,False,False,False
now,116,False,False,False
if,116,False,False,False
peace,116,False,False,False
make,113,False,False,False
what,113,False,False,False
America,108,False,False,False
made,108,False,False,False
into,105,False,False,False
Constitution,104,False,False,False
me,98,False,False,False
freedom,97,False,False,False
were,94,False,False,False
had,94,False,False,False
without,91,False,False,False
nation,91,False,False,False
never,90,False,False,False
you,89,False,False,False
just,88,False,False,False
good,86,False,False,False
against,84,False,False,False
years,82,False,False,False
best,82,False,False,False
To,82,False,False,False
national,82,False,False,False
Congress,81,False,False,False
nations,81,False,False,False
each,81,False,False,False
duty,78,False,False,False
citizens,78,False,False,False
rights,78,False,False,False
much,78,False,False,False
because,78,False,False,False
through,78,False,False,False
men,78,False,False,False
spirit,76,False,False,False
between,75,False,False,False
This,75,False,False,False
